         Central European Time;   Temperature;  Dissolved Oxygen;  Dissolved Oxygen Saturation
           2017-07-01 00:08:00;15.921279;7.666527;77.590006
           2017-07-01 00:18:00;15.929789;8.041487;81.399552
           2017-07-01 00:28:00;15.929789;8.154096;82.539431
           2017-07-01 00:38:00;15.938299;8.395987;85.003329
           2017-07-01 00:48:00;15.946808;8.365813;84.71315
           2017-07-01 00:58:00;15.938299;8.151559;82.528671
           2017-07-01 01:08:00;15.929789;8.140754;82.404378
           2017-07-01 01:18:00;15.938299;8.20516;83.071343
           2017-07-01 01:28:00;15.929789;8.174155;82.742478
           2017-07-01 01:38:00;15.929789;8.021799;81.200262
           2017-07-01 01:48:00;15.929789;7.930647;80.27758
           2017-07-01 01:58:00;15.921279;7.798539;78.92605
           2017-07-01 02:08:00;15.904256;7.822478;79.139689
           2017-07-01 02:18:00;15.870206;8.403078;84.952066
           2017-07-01 02:28:00;15.844662;8.33525;84.22057
           2017-07-01 02:38:00;15.82763;8.265505;83.48559
           2017-07-01 02:48:00;15.819114;8.120463;82.005729
           2017-07-01 02:58:00;15.819114;8.060944;81.404668
           2017-07-01 03:08:00;15.810597;8.037159;81.149756
           2017-07-01 03:18:00;15.810597;8.06346;81.415312
           2017-07-01 03:28:00;15.819114;8.054362;81.338198
           2017-07-01 03:38:00;15.819114;7.943391;80.217541
           2017-07-01 03:48:00;15.82763;7.876466;79.556109
           2017-07-01 03:58:00;15.82763;7.831704;79.103991
           2017-07-01 04:08:00;15.819114;7.834149;79.114344
           2017-07-01 04:18:00;15.793561;7.970309;80.445595
           2017-07-01 04:28:00;15.785042;7.979304;80.521772
           2017-07-01 04:38:00;15.776523;7.923446;79.943582
           2017-07-01 04:48:00;15.776523;7.94932;80.204637
           2017-07-01 04:58:00;15.768003;7.938851;80.084472
           2017-07-01 05:08:00;15.768003;7.913017;79.823868
           2017-07-01 05:18:00;15.776523;7.840011;79.101764
           2017-07-01 05:28:00;15.759483;7.934863;80.029713
           2017-07-01 05:38:00;15.750962;7.924419;79.909864
           2017-07-01 05:48:00;15.74244;7.875419;79.401324
           2017-07-01 05:58:00;15.74244;7.849821;79.143241
           2017-07-01 06:08:00;15.74244;7.760964;78.247369
           2017-07-01 06:18:00;15.733919;7.795007;78.576322
           2017-07-01 06:28:00;15.725396;7.854734;79.164005
           2017-07-01 06:38:00;15.716873;7.818936;78.788894
           2017-07-01 06:48:00;15.725396;7.740627;78.013976
           2017-07-01 06:58:00;15.716873;7.806231;78.66087
           2017-07-01 07:08:00;15.716873;7.831665;78.91716
           2017-07-01 07:18:00;15.716873;7.838038;78.981379
           2017-07-01 07:28:00;15.70835;7.840492;78.991748
           2017-07-01 07:38:00;15.716873;7.793549;78.533077
