Site Name ,ST2 1 OV BUND
Site Number ,2
Logger ,Integrating Light Sensor
Logger Serial Number ,50364


Scan No ,Date and Time,       Integrating Light,        ,
        ,        ,RAW VALUE ,CALIBRATED VALUE,

1,17/04/2018 , 15:12:40,734,734
2,17/04/2018 , 15:22:40,1168,1168
3,17/04/2018 , 15:32:40,1106,1106
4,17/04/2018 , 15:42:40,929,929
5,17/04/2018 , 15:52:40,1167,1167
6,17/04/2018 , 16:02:40,1164,1164
7,17/04/2018 , 16:12:40,738,738
8,17/04/2018 , 16:22:40,728,728
9,17/04/2018 , 16:32:40,2070,2070
10,17/04/2018 , 16:42:40,105,105
11,17/04/2018 , 16:52:40,136,136
12,17/04/2018 , 17:02:40,134,134
13,17/04/2018 , 17:12:40,143,143
14,17/04/2018 , 17:22:40,100,100
15,17/04/2018 , 17:32:40,103,103
16,17/04/2018 , 17:42:40,84,84
17,17/04/2018 , 17:52:40,53,53
18,17/04/2018 , 18:02:40,50,50
19,17/04/2018 , 18:12:40,67,67
20,17/04/2018 , 18:22:40,82,82
21,17/04/2018 , 18:32:40,114,114
22,17/04/2018 , 18:42:40,141,141
23,17/04/2018 , 18:52:40,183,183
24,17/04/2018 , 19:02:40,131,131
25,17/04/2018 , 19:12:40,90,90
26,17/04/2018 , 19:22:40,67,67
27,17/04/2018 , 19:32:40,58,58
28,17/04/2018 , 19:42:40,56,56
29,17/04/2018 , 19:52:40,29,29
30,17/04/2018 , 20:02:40,19,19
31,17/04/2018 , 20:12:40,12,12
32,17/04/2018 , 20:22:40,8,8
33,17/04/2018 , 20:32:40,4,4
34,17/04/2018 , 20:42:40,1,1
35,17/04/2018 , 20:52:40,1,1
36,17/04/2018 , 21:02:40,0,0
37,17/04/2018 , 21:12:40,0,0
38,17/04/2018 , 21:22:40,0,0
39,17/04/2018 , 21:32:40,0,0
40,17/04/2018 , 21:42:40,0,0
41,17/04/2018 , 21:52:40,0,0
42,17/04/2018 , 22:02:40,0,0
43,17/04/2018 , 22:12:40,0,0
44,17/04/2018 , 22:22:40,0,0
45,17/04/2018 , 22:32:40,0,0
46,17/04/2018 , 22:42:40,0,0
47,17/04/2018 , 22:52:40,0,0
48,17/04/2018 , 23:02:40,0,0
49,17/04/2018 , 23:12:40,0,0
50,17/04/2018 , 23:22:40,0,0
51,17/04/2018 , 23:32:40,0,0
52,17/04/2018 , 23:42:40,0,0
53,17/04/2018 , 23:52:40,0,0
54,18/04/2018 , 00:02:40,0,0
55,18/04/2018 , 00:12:40,0,0
56,18/04/2018 , 00:22:40,0,0
57,18/04/2018 , 00:32:40,0,0
58,18/04/2018 , 00:42:40,0,0
59,18/04/2018 , 00:52:40,0,0
60,18/04/2018 , 01:02:40,0,0
61,18/04/2018 , 01:12:40,0,0
62,18/04/2018 , 01:22:40,0,0
63,18/04/2018 , 01:32:40,0,0
64,18/04/2018 , 01:42:40,0,0
65,18/04/2018 , 01:52:40,0,0
66,18/04/2018 , 02:02:40,0,0
67,18/04/2018 , 02:12:40,0,0
68,18/04/2018 , 02:22:40,0,0
69,18/04/2018 , 02:32:40,0,0
70,18/04/2018 , 02:42:40,0,0
71,18/04/2018 , 02:52:40,0,0
72,18/04/2018 , 03:02:40,0,0
73,18/04/2018 , 03:12:40,0,0
74,18/04/2018 , 03:22:40,0,0
75,18/04/2018 , 03:32:40,0,0
76,18/04/2018 , 03:42:40,0,0
77,18/04/2018 , 03:52:40,0,0
78,18/04/2018 , 04:02:40,0,0
79,18/04/2018 , 04:12:40,0,0
80,18/04/2018 , 04:22:40,0,0
81,18/04/2018 , 04:32:40,0,0
82,18/04/2018 , 04:42:40,0,0
83,18/04/2018 , 04:52:40,0,0
84,18/04/2018 , 05:02:40,0,0
85,18/04/2018 , 05:12:40,0,0
86,18/04/2018 , 05:22:40,0,0
87,18/04/2018 , 05:32:40,0,0
88,18/04/2018 , 05:42:40,0,0
89,18/04/2018 , 05:52:40,0,0
90,18/04/2018 , 06:02:40,0,0
91,18/04/2018 , 06:12:40,1,1
92,18/04/2018 , 06:22:40,2,2
93,18/04/2018 , 06:32:40,2,2
94,18/04/2018 , 06:42:40,7,7
95,18/04/2018 , 06:52:40,7,7
96,18/04/2018 , 07:02:40,10,10
97,18/04/2018 , 07:12:40,27,27
98,18/04/2018 , 07:22:40,30,30
99,18/04/2018 , 07:32:40,38,38
100,18/04/2018 , 07:42:40,50,50
101,18/04/2018 , 07:52:40,41,41
102,18/04/2018 , 08:02:40,67,67
103,18/04/2018 , 08:12:40,86,86
104,18/04/2018 , 08:22:40,113,113
105,18/04/2018 , 08:32:40,113,113
106,18/04/2018 , 08:42:40,127,127
107,18/04/2018 , 08:52:40,142,142
108,18/04/2018 , 09:02:40,157,157
109,18/04/2018 , 09:12:40,191,191
110,18/04/2018 , 09:22:40,235,235
111,18/04/2018 , 09:32:40,273,273
